日付,曜日,駅,定期（通勤）,定期（通学）,IC大人,IC小児,,,
2019/4/8,月,三宮,13757,4986,17321,35,,,
2019/4/8,月,西神中央,6270,2404,7019,31,,,
2019/4/9,火,三宮,13488,5477,17507,40,,,
2019/4/9,火,西神中央,6174,2585,7048,41,,,
2019/4/10,水,三宮,13606,5979,17936,43,,,
2019/4/10,水,西神中央,6148,2722,6282,30,,,
2019/4/11,木,三宮,13846,6298,17880,34,,,
2019/4/11,木,西神中央,6283,2517,6964,22,,,
2019/4/12,金,三宮,14023,6224,20074,39,,,
2019/4/12,金,西神中央,6192,2706,7333,34,,,
2019/4/13,土,三宮,6759,3216,19374,70,,,
2019/4/13,土,西神中央,2383,1434,5155,42,,,
2019/4/14,日,三宮,4972,2071,15127,46,,,
2019/4/14,日,西神中央,1672,977,3446,24,,,
2019/4/15,月,三宮,13869,6455,17323,19,,,
2019/4/15,月,西神中央,6266,2796,6865,26,,,
2019/4/16,火,三宮,13975,6604,17815,19,,,
2019/4/16,火,西神中央,6302,2873,7017,34,,,
2019/4/17,水,三宮,13762,6486,17839,26,,,
2019/4/17,水,西神中央,6233,2860,7082,25,,,
2019/4/18,木,三宮,13971,6561,19932,39,,,
2019/4/18,木,西神中央,6229,2866,7469,31,,,
2019/4/19,金,三宮,13954,6173,20637,29,,,
2019/4/19,金,西神中央,6194,2821,7510,29,,,
2019/4/20,土,三宮,6708,3308,20387,66,,,
2019/4/20,土,西神中央,2470,1754,5068,44,,,
2019/4/21,日,三宮,5130,2347,16513,65,,,
2019/4/21,日,西神中央,1674,1142,4209,26,,,
2019/4/22,月,三宮,13802,6574,17590,30,,,
2019/4/22,月,西神中央,6274,2844,6984,23,,,
2019/4/23,火,三宮,13925,6517,17966,17,,,
2019/4/23,火,西神中央,6285,2889,7132,29,,,
2019/4/24,水,三宮,13833,6375,17860,26,,,
2019/4/24,水,西神中央,6171,2861,6910,22,,,
2019/4/25,木,三宮,14072,6574,19416,27,,,
2019/4/25,木,西神中央,6217,2866,7142,25,,,
2019/4/26,金,三宮,14082,6442,22341,48,,,
2019/4/26,金,西神中央,6094,2864,7614,32,,,
2019/4/27,土,三宮,6777,3560,20521,96,,,
2019/4/27,土,西神中央,2546,1647,5336,38,,,
2019/4/28,日,三宮,5222,2464,19004,123,,,
2019/4/28,日,西神中央,1888,1223,4437,27,,,
2019/4/29,祝,三宮,5293,3237,16412,116,,,
2019/4/29,祝,西神中央,1846,1499,3678,18,,,
2019/4/30,祝,三宮,5648,3195,15072,92,,,
2019/4/30,祝,西神中央,2061,1530,4117,13,,,
2019/5/1,祝,三宮,5269,2393,16089,97,,,
2019/5/1,祝,西神中央,1912,1243,3886,5,,,
2019/5/2,祝,三宮,5584,2614,17846,117,,,
2019/5/2,祝,西神中央,1943,1311,4354,14,,,
2019/5/3,祝,三宮,5098,2218,18128,140,,,
2019/5/3,祝,西神中央,1839,1170,4384,19,,,
2019/5/4,祝,三宮,5082,2190,17580,105,,,
2019/5/4,祝,西神中央,1688,1045,4230,18,,,
2019/5/5,祝,三宮,4864,2102,17784,93,,,
2019/5/5,祝,西神中央,1665,977,4139,19,,,
2019/5/6,祝,三宮,5067,3511,13355,72,,,
2019/5/6,祝,西神中央,1718,1261,3519,25,,,
2019/5/7,火,三宮,14207,6444,16364,28,,,
2019/5/7,火,西神中央,6299,2827,6754,42,,,
2019/5/8,水,三宮,14165,6464,17205,32,,,
2019/5/8,水,西神中央,6425,2875,6898,23,,,
2019/5/9,木,三宮,14299,6636,17420,27,,,
2019/5/9,木,西神中央,6481,2883,6930,29,,,
